CustomerId,recency,frequency,total_amount,avg_amount,std_amount,min_amount,max_amount,amount_range,amount_variability,avg_transaction_size,fav_category,fav_channel,country
CustomerId_1,84,1,-10000.0,-10000.0,,-10000.0,-10000.0,0.0,,-10000.0,airtime,ChannelId_2,256
CustomerId_10,84,1,-10000.0,-10000.0,,-10000.0,-10000.0,0.0,,-10000.0,airtime,ChannelId_2,256
CustomerId_1001,90,5,20000.0,4000.0,6558.96,-5000.0,10000.0,15000.0,1.639739999590065,4000.0,financial_services,ChannelId_3,256
CustomerId_1002,26,11,4225.0,384.09,560.5,-75.0,1500.0,1575.0,1.459293390977913,384.09090909090907,financial_services,ChannelId_2,256
CustomerId_1003,12,6,20000.0,3333.33,6030.48,-5000.0,10000.0,15000.0,1.8091458086030647,3333.3333333333335,airtime,ChannelId_3,256
CustomerId_1004,53,1,2000.0,2000.0,,2000.0,2000.0,0.0,,2000.0,airtime,ChannelId_3,256
CustomerId_1005,47,9,48800.0,5422.22,5983.68,-5000.0,10000.0,15000.0,1.103547993053851,5422.222222222223,financial_services,ChannelId_3,256
CustomerId_1006,65,1,1000.0,1000.0,,1000.0,1000.0,0.0,,1000.0,financial_services,ChannelId_3,256
CustomerId_1007,82,1,28000.0,28000.0,,28000.0,28000.0,0.0,,28000.0,financial_services,ChannelId_3,256
CustomerId_1008,66,2,20000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,10000.0,financial_services,ChannelId_3,256
CustomerId_1009,28,1,500.0,500.0,,500.0,500.0,0.0,,500.0,airtime,ChannelId_3,256
CustomerId_1010,42,7,26335.0,3762.14,4971.8,-1000.0,10000.0,11000.0,1.32153508340425,3762.1428571428573,financial_services,ChannelId_3,256
CustomerId_1012,5,74,124906.0,1687.92,3441.49,-1100.0,22000.0,23100.0,2.0388940222054988,1687.918918918919,airtime,ChannelId_3,256
CustomerId_1014,50,8,763880.0,95485.0,119332.84,1000.0,300000.0,299000.0,1.2497548305885768,95485.0,financial_services,ChannelId_3,256
CustomerId_1016,5,5,20000.0,4000.0,6745.37,-5000.0,10000.0,15000.0,1.6863424995784144,4000.0,financial_services,ChannelId_3,256
CustomerId_1020,27,203,292195.0,1439.38,2500.45,-100.0,10000.0,10100.0,1.7371715587703231,1439.384236453202,financial_services,ChannelId_3,256
CustomerId_1021,78,1,5000.0,5000.0,,5000.0,5000.0,0.0,,5000.0,financial_services,ChannelId_3,256
CustomerId_1022,35,1,7000.0,7000.0,,7000.0,7000.0,0.0,,7000.0,airtime,ChannelId_3,256
CustomerId_1025,12,16,17200.0,1075.0,1803.65,-1000.0,5000.0,6000.0,1.6778139519276147,1075.0,financial_services,ChannelId_3,256
CustomerId_1027,1,14,26770.0,1912.14,3484.27,-50.0,10000.0,10050.0,1.8221835211740856,1912.142857142857,financial_services,ChannelId_3,256
CustomerId_1028,26,1,500.0,500.0,,500.0,500.0,0.0,,500.0,financial_services,ChannelId_3,256
CustomerId_1029,8,9,51000.0,5666.67,8692.67,-5000.0,20000.0,25000.0,1.5339996856118319,5666.666666666667,financial_services,ChannelId_3,256
CustomerId_1030,31,8,2350.0,293.75,713.86,-1000.0,1000.0,2000.0,2.4301616938547688,293.75,airtime,ChannelId_2,256
CustomerId_1031,15,50,106838.8,2136.78,4615.4,-5000.0,23000.0,28000.0,2.159979032862541,2136.776,airtime,ChannelId_3,256
CustomerId_1032,34,2,2000.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,airtime,ChannelId_3,256
CustomerId_1033,67,2,950.0,475.0,742.46,-50.0,1000.0,1050.0,1.5630736809198449,475.0,airtime,ChannelId_2,256
CustomerId_1034,9,16,40508.0,2531.75,7896.61,-5000.0,28000.0,33000.0,3.119032288686074,2531.75,airtime,ChannelId_3,256
CustomerId_1036,91,3,-50.0,-16.67,1000.42,-1000.0,1000.0,2000.0,-60.01320096059993,-16.666666666666668,financial_services,ChannelId_2,256
CustomerId_1038,12,5,19000.0,3800.0,6685.81,-5000.0,10000.0,15000.0,1.7594236837475203,3800.0,financial_services,ChannelId_3,256
CustomerId_1039,12,30,248895.0,8296.5,10395.94,-5000.0,22050.0,27050.0,1.2530512865361236,8296.5,financial_services,ChannelId_3,256
CustomerId_1040,38,1,50000.0,50000.0,,50000.0,50000.0,0.0,,50000.0,financial_services,ChannelId_3,256
CustomerId_1043,47,6,14000.0,2333.33,6976.15,-5000.0,10000.0,15000.0,2.9897828412655807,2333.3333333333335,airtime,ChannelId_2,256
CustomerId_1044,48,16,21848.5,1365.53,2064.19,-622.0,6000.0,6622.0,1.5116401679116238,1365.53125,financial_services,ChannelId_3,256
CustomerId_1048,43,1,1000.0,1000.0,,1000.0,1000.0,0.0,,1000.0,financial_services,ChannelId_3,256
CustomerId_1050,54,1,5000.0,5000.0,,5000.0,5000.0,0.0,,5000.0,financial_services,ChannelId_3,256
CustomerId_1052,24,7,56900.0,8128.57,18504.48,-1000.0,50000.0,51000.0,2.2764742135115434,8128.571428571428,financial_services,ChannelId_3,256
CustomerId_1053,90,7,13788.0,1969.71,1911.44,-12.0,4000.0,4012.0,0.9704169644412542,1969.7142857142858,financial_services,ChannelId_3,256
CustomerId_1054,5,52,159000.0,3057.69,6112.96,-1000.0,30000.0,31000.0,1.9992085522079712,3057.6923076923076,airtime,ChannelId_3,256
CustomerId_1055,82,5,5850.0,1170.0,1338.66,-100.0,3000.0,3100.0,1.1441538451759368,1170.0,financial_services,ChannelId_3,256
CustomerId_1056,56,4,5500.0,1375.0,1108.68,500.0,3000.0,2500.0,0.806312726686318,1375.0,financial_services,ChannelId_3,256
CustomerId_1057,91,2,4504.0,2252.0,3886.26,-496.0,5000.0,5496.0,1.7256927168180762,2252.0,financial_services,ChannelId_2,256
CustomerId_1058,5,29,13815.0,476.38,597.27,-100.0,2000.0,2100.0,1.253767997704001,476.37931034482756,financial_services,ChannelId_3,256
CustomerId_1059,12,9,40000.0,4444.44,6463.57,-5000.0,10000.0,15000.0,1.4543047039774855,4444.444444444444,financial_services,ChannelId_3,256
CustomerId_1063,2,12,13325.0,1110.42,1608.66,-1000.0,5000.0,6000.0,1.4486950870403132,1110.4166666666667,financial_services,ChannelId_3,256
CustomerId_1064,6,42,191650.0,4563.1,6424.72,-5000.0,20000.0,25000.0,1.407972649863476,4563.0952380952385,financial_services,ChannelId_3,256
CustomerId_1068,53,1,500.0,500.0,,500.0,500.0,0.0,,500.0,airtime,ChannelId_3,256
CustomerId_1070,26,1,5000.0,5000.0,,5000.0,5000.0,0.0,,5000.0,financial_services,ChannelId_3,256
CustomerId_1071,3,7,236290.0,33755.71,57242.85,-1610.0,120000.0,121610.0,1.6957975405732602,33755.71428571428,financial_services,ChannelId_3,256
CustomerId_1073,72,1,1000.0,1000.0,,1000.0,1000.0,0.0,,1000.0,airtime,ChannelId_3,256
CustomerId_1074,5,46,167500.0,3641.3,5656.41,-14500.0,10000.0,24500.0,1.5534040036378753,3641.304347826087,financial_services,ChannelId_3,256
CustomerId_1078,47,6,19000.0,3166.67,7626.71,-5000.0,10000.0,15000.0,2.408432200889757,3166.6666666666665,airtime,ChannelId_2,256
CustomerId_1079,45,1,20000.0,20000.0,,20000.0,20000.0,0.0,,20000.0,airtime,ChannelId_3,256
CustomerId_1080,31,1,5000.0,5000.0,,5000.0,5000.0,0.0,,5000.0,financial_services,ChannelId_3,256
CustomerId_1081,14,2,1500.0,750.0,353.55,500.0,1000.0,500.0,0.4713999993714667,750.0,airtime,ChannelId_3,256
CustomerId_1082,47,5,19000.0,3800.0,6685.81,-5000.0,10000.0,15000.0,1.7594236837475203,3800.0,financial_services,ChannelId_3,256
CustomerId_1083,32,1,500.0,500.0,,500.0,500.0,0.0,,500.0,airtime,ChannelId_3,256
CustomerId_1084,71,1,10000.0,10000.0,,10000.0,10000.0,0.0,,10000.0,financial_services,ChannelId_3,256
CustomerId_1085,58,4,2900.0,725.0,1517.4,-1000.0,2000.0,3000.0,2.0929655143545305,725.0,financial_services,ChannelId_2,256
CustomerId_1086,5,32,77576.0,2424.25,4114.99,-250.0,15000.0,15250.0,1.6974280698370927,2424.25,financial_services,ChannelId_3,256
CustomerId_1087,33,9,40000.0,4444.44,6463.57,-5000.0,10000.0,15000.0,1.4543047039774855,4444.444444444444,financial_services,ChannelId_3,256
CustomerId_1089,37,152,169651.5,1116.13,1695.01,-175.0,10000.0,10175.0,1.518649259926129,1116.1282894736842,financial_services,ChannelId_3,256
